cust_id,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
2652159,72,4,174.96,5,4,5,545
2659920,168,1,21.69,4,1,1,411
2696881,22,4,250.92000000000002,5,4,5,545
2731513,168,1,52.99,4,1,3,413
2736044,168,1,62.99,4,1,3,413
2777225,168,5,129.95,4,5,4,454
2806010,168,1,36.49,4,1,2,412
2857537,168,1,34.29,4,1,2,412
2899536,168,1,68.99,4,1,3,413
2930465,168,3,46.97,4,4,2,442
2931456,168,1,80.99,4,1,4,414
2946935,168,1,106.95,4,1,4,414
2966476,38,11,417.79,5,5,5,555
2985721,168,1,24.99,4,1,1,411
2987782,168,1,52.99,4,1,3,413
3003235,42,15,436.8500000000001,5,5,5,555
3011121,168,4,86.77,4,4,4,444
3026338,168,1,80.99,4,1,4,414
3058453,168,3,80.47,4,4,4,444
3071541,168,3,80.97,4,4,4,444
3084229,8,7,176.33,5,5,5,555
3186060,168,4,7.96,4,4,1,441
3189832,168,1,62.99,4,1,3,413
3211287,43,3,138.97,5,4,5,545
3212092,168,2,162.98,4,3,5,435
3223450,168,1,42.99,4,1,2,412
3230962,168,3,22.189999999999998,4,4,1,441
3253109,168,1,33.99,4,1,2,412
3298442,168,1,33.99,4,1,2,412
3338358,168,1,19.99,4,1,1,411
3345227,168,1,42.99,4,1,2,412
3352084,168,1,32.99,4,1,2,412
3359204,168,1,76.99,4,1,3,413
3360511,38,9,354.90999999999997,5,5,5,555
3364607,57,9,277.91,5,5,5,555
3400507,168,1,76.99,4,1,3,413
3407746,168,1,27.99,4,1,1,411
3429760,12,11,340.45,5,5,5,555
3457252,168,1,21.99,4,1,1,411
3470884,168,1,38.99,4,1,2,412
3471595,28,2,35.98,5,3,2,532
3478820,168,2,87.48,4,3,4,434
3485967,168,2,49.98,4,3,2,432
3486402,168,1,4.49,4,1,1,411
3488220,46,6,300.94,5,5,5,555
3490557,168,1,53.89,4,1,3,413
3515486,168,1,30.99,4,1,2,412
3530575,168,1,102.95,4,1,4,414
3531402,168,1,11.99,4,1,1,411
3537393,168,3,129.43,4,4,4,444
3538090,168,1,44.99,4,1,2,412
3568127,137,4,94.96,5,4,4,544
3588716,168,1,58.99,4,1,3,413
3602855,1,2,115.97999999999999,5,3,4,534
